 
type        messages       subsets         bytes
 
ADPUPA            13           127        554608        9.77
AIRCAR          1410        131227      14009148       93.07
AIRCFT           620         61033       6158708       98.44
SATWND           334        220753      16353758      660.94
VADWND          2601          4663      19162448        1.79
ADPSFC           299        159137      14883814      532.23
SFCSHP            76         48481       3748634      637.91
GPSIPW             1           372         20142      372.00
RASSDA             2           187         95618       93.50
ASCATW           218        177696      10851228      815.12
SYNDAT             1           134         18010      134.00
TOTAL           5575        803810      85856116
 
