,Names,Sizes,Names,Sizes,Diff,% Diff
0,gdas.t00z.proflr.tm00.bufr_d,312104,gdas.t00z.proflr.tm00.bufr_d,312104,0,0.0
1,gdas.t00z.1bamua.tm00.bufr_d,13384248,gdas.t00z.1bamua.tm00.bufr_d,13384248,0,0.0
2,gdas.t00z.snocvr.tm00.bufr_d,2635840,gdas.t00z.snocvr.tm00.bufr_d,2635840,0,0.0
3,gdas.t00z.gmi1cr.tm00.bufr_d,104203120,gdas.t00z.gmi1cr.tm00.bufr_d,104203120,0,0.0
4,gdas.t00z.ahicsr.tm00.bufr_d,13599648,gdas.t00z.ahicsr.tm00.bufr_d,13599648,0,0.0
5,gdas.t00z.omi.tm00.bufr_d,8751080,gdas.t00z.omi.tm00.bufr_d,8751080,0,0.0
6,gdas.t00z.ompst8.tm00.bufr_d,276517456,gdas.t00z.ompst8.tm00.bufr_d,276517456,0,0.0
7,gdas.t00z.esiasi.tm00.bufr_d,577987520,gdas.t00z.esiasi.tm00.bufr_d,577987520,0,0.0
8,gdas.t00z.ascatt.tm00.bufr_d,24387088,gdas.t00z.ascatt.tm00.bufr_d,24387088,0,0.0
9,gdas.t00z.sstvpw.tm00.bufr_d,441087176,gdas.t00z.sstvpw.tm00.bufr_d,441087176,0,0.0
10,gdas.t00z.ompslp.tm00.bufr_d,0,gdas.t00z.ompslp.tm00.bufr_d,0,0,
11,gdas.t00z.eshrs3.tm00.bufr_d,35134072,gdas.t00z.eshrs3.tm00.bufr_d,35134072,0,0.0
12,gdas.t00z.mtiasi.tm00.bufr_d,825342424,gdas.t00z.mtiasi.tm00.bufr_d,825342424,0,0.0
13,gdas.t00z.osbuv8.tm00.bufr_d,0,gdas.t00z.osbuv8.tm00.bufr_d,0,0,
14,gdas.t00z.avcspm.tm00.bufr_d,238200080,gdas.t00z.avcspm.tm00.bufr_d,238200080,0,0.0
15,gdas.t00z.imssnow96.asc,37756486,gdas.t00z.imssnow96.asc,37756486,0,0.0
16,gdas.t00z.uprair.tm00.bufr_d,27771952,gdas.t00z.uprair.tm00.bufr_d,27771952,0,0.0
17,gdas.t00z.1bmhs.tm00.bufr_d,45743584,gdas.t00z.1bmhs.tm00.bufr_d,45743584,0,0.0
18,gdas.t00z.sstvcw.tm00.bufr_d,1963305192,gdas.t00z.sstvcw.tm00.bufr_d,1963305192,0,0.0
19,gdas.t00z.status.tm00.bufr_d,42789,gdas.t00z.status.tm00.bufr_d,42789,0,0.0
20,gdas.t00z.engicegrb,259284,gdas.t00z.engicegrb,259284,0,0.0
21,gdas.t00z.syndata.tcvitals.tm00,192,gdas.t00z.syndata.tcvitals.tm00,192,0,0.0
22,gdas.t00z.sfcshp.tm00.bufr_d,10041112,gdas.t00z.sfcshp.tm00.bufr_d,10041112,0,0.0
23,gdas.t00z.saldrn.tm00.bufr_d,137032,gdas.t00z.saldrn.tm00.bufr_d,137032,0,0.0
