,Names,Sizes,Names,Sizes,Diff,% Diff
0,rrfs.t17z.cqc_sdm.tm00,4928,rrfs.t17z.cqc_sdm.tm00,4928,0,0.0
1,rrfs.t10z.1bhrs4.tm00.bufr_d,1156952,rrfs.t10z.1bhrs4.tm00.bufr_d,1156952,0,0.0
2,rrfs.t16z.cqcvad.birdqc.tm00,12883,rrfs.t16z.cqcvad.birdqc.tm00,12883,0,0.0
3,rrfs.t08z.acqc_dup.tm00,960,rrfs.t08z.acqc_dup.tm00,960,0,0.0
4,rrfs.t13z.aircft.tm00.bufr_d,2800408,rrfs.t13z.aircft.tm00.bufr_d,2800408,0,0.0
5,rrfs.t16z.adpsfc.tm00.bufr_d.nr,1587352,rrfs.t16z.adpsfc.tm00.bufr_d.nr,1587352,0,0.0
6,rrfs.t19z.cqc_radcor.tm00,9854,rrfs.t19z.cqc_radcor.tm00,9854,0,0.0
7,rrfs.t10z.cqc_events.tm00,0,rrfs.t10z.cqc_events.tm00,0,0,
8,rrfs.t13z.cqc_stnlst.tm00,226098,rrfs.t13z.cqc_stnlst.tm00,226098,0,0.0
9,rrfs.t11z.adpsfc.tm00.bufr_d.nr,1581600,rrfs.t11z.adpsfc.tm00.bufr_d.nr,1581600,0,0.0
10,rrfs.t16z.tideg.tm00.bufr_d,77032,rrfs.t16z.tideg.tm00.bufr_d,77032,0,0.0
11,rrfs.t23z.msonet.tm00.bufr_d.listing,58481643,rrfs.t23z.msonet.tm00.bufr_d.listing,58481643,0,0.0
12,rrfs.t09z.prepbufr_pre-qc.tm00.nr,7427096,rrfs.t09z.prepbufr_pre-qc.tm00.nr,7427096,0,0.0
13,rrfs.t21z.snocvr.tm00.bufr_d,1043072,rrfs.t21z.snocvr.tm00.bufr_d,1043072,0,0.0
14,rrfs.t00z.atmsdb.tm00.bufr_d,19386560,rrfs.t00z.atmsdb.tm00.bufr_d,19386560,0,0.0
15,where_t00z_rrfs_dump_ran,45,where_t00z_rrfs_dump_ran,45,0,0.0
16,rrfs.t00z.adpsfc.tm00.bufr_d,1882544,rrfs.t00z.adpsfc.tm00.bufr_d,1882544,0,0.0
17,rrfs.t18z.adpsfc.tm00.bufr_d.listing,4435425,rrfs.t18z.adpsfc.tm00.bufr_d.listing,4435425,0,0.0
18,rrfs.t07z.acqc_lst.tm00,243237,rrfs.t07z.acqc_lst.tm00,243237,0,0.0
19,rrfs.t14z.lghtng.tm00.bufr_d,1486320,rrfs.t14z.lghtng.tm00.bufr_d,1486320,0,0.0
20,rrfs.t17z.satwnd.tm00.bufr_d.listing,28120498,rrfs.t17z.satwnd.tm00.bufr_d.listing,28120498,0,0.0
21,rrfs.t08z.cqc_radcor.tm00,8490,rrfs.t08z.cqc_radcor.tm00,8490,0,0.0
22,rrfs.t03z.esmhs.tm00.bufr_d,4926784,rrfs.t03z.esmhs.tm00.bufr_d,4926784,0,0.0
23,where_t10z_rrfs_prep_ran,42,where_t10z_rrfs_prep_ran,42,0,0.0
24,rrfs.t12z.iasidb.tm00.bufr_d,112264,rrfs.t12z.iasidb.tm00.bufr_d,112264,0,0.0
25,rrfs.t06z.adpsfc.tm00.bufr_d.nr,1660448,rrfs.t06z.adpsfc.tm00.bufr_d.nr,1660448,0,0.0
26,obsproc_version_for_t07z_rrfs_dump_run,124,obsproc_version_for_t07z_rrfs_dump_run,124,0,0.0
27,rrfs.t19z.saldrn.tm00.bufr_d,69312,rrfs.t19z.saldrn.tm00.bufr_d,69312,0,0.0
28,rrfs.t13z.acqc_spk.tm00,464,rrfs.t13z.acqc_spk.tm00,464,0,0.0
29,rrfs.t02z.gmi1cr.tm00.bufr_d,41103064,rrfs.t02z.gmi1cr.tm00.bufr_d,41103064,0,0.0
30,rrfs.t06z.acqc_inv.tm00,15259,rrfs.t06z.acqc_inv.tm00,15259,0,0.0
31,obsproc_version_for_t10z_rrfs_prep_post_run,24,obsproc_version_for_t10z_rrfs_prep_post_run,24,0,0.0
32,rrfs.t17z.1bhrs4.tm00.bufr_d,856840,rrfs.t17z.1bhrs4.tm00.bufr_d,856840,0,0.0
33,rrfs.t01z.aircft.tm00.bufr_d.listing,2754403,rrfs.t01z.aircft.tm00.bufr_d.listing,2754403,0,0.0
34,rrfs.t01z.msone1.tm00.bufr_d,6069544,rrfs.t01z.msone1.tm00.bufr_d,6069544,0,0.0
35,rrfs.t20z.acqc_stk.tm00,3266859,rrfs.t20z.acqc_stk.tm00,3266859,0,0.0
36,rrfs.t10z.nexrad.tm00.bufr_d,661827456,rrfs.t10z.nexrad.tm00.bufr_d,661827456,0,0.0
37,rrfs.t14z.aircar.tm00.bufr_d.nr,22760,rrfs.t14z.aircar.tm00.bufr_d.nr,22760,0,0.0
38,rrfs.t16z.cqc_sdm.tm00,2016,rrfs.t16z.cqc_sdm.tm00,2016,0,0.0
39,rrfs.t04z.esmhs.tm00.bufr_d,4549616,rrfs.t04z.esmhs.tm00.bufr_d,4549616,0,0.0
40,rrfs.t15z.gpsipw.tm00.bufr_d,111600,rrfs.t15z.gpsipw.tm00.bufr_d,111600,0,0.0
41,rrfs.t21z.imssnow.grib2,9816830,rrfs.t21z.imssnow.grib2,9816830,0,0.0
42,rrfs.t04z.gmi1cr.tm00.bufr_d,35317416,rrfs.t04z.gmi1cr.tm00.bufr_d,35317416,0,0.0
43,rrfs.t15z.esmhs.tm00.bufr_d,2148040,rrfs.t15z.esmhs.tm00.bufr_d,2148040,0,0.0
44,rrfs.t05z.airsev.tm00.bufr_d,0,rrfs.t05z.airsev.tm00.bufr_d,0,0,
45,rrfs.t05z.ascatw.tm00.bufr_d.listing,773029,rrfs.t05z.ascatw.tm00.bufr_d.listing,773029,0,0.0
46,rrfs.t19z.aircft.tm00.bufr_d.listing,3247915,rrfs.t19z.aircft.tm00.bufr_d.listing,3247915,0,0.0
47,rrfs.t21z.msonet.tm00.bufr_d.listing,57852415,rrfs.t21z.msonet.tm00.bufr_d.listing,57852415,0,0.0
48,rrfs.t17z.sfcshp.tm00.bufr_d.listing,1369145,rrfs.t17z.sfcshp.tm00.bufr_d.listing,1369145,0,0.0
49,rrfs.t04z.gpsipw.tm00.bufr_d.nr,699176,rrfs.t04z.gpsipw.tm00.bufr_d.nr,699176,0,0.0
50,obsproc_version_for_t19z_rrfs_dump_post_run,44,obsproc_version_for_t19z_rrfs_dump_post_run,44,0,0.0
51,rrfs.t14z.adpsfc.tm00.bufr_d,1642576,rrfs.t14z.adpsfc.tm00.bufr_d,1642576,0,0.0
52,obsproc_version_for_t22z_rrfs_prep_run,24,obsproc_version_for_t22z_rrfs_prep_run,24,0,0.0
53,rrfs.t21z.sfcshp.tm00.bufr_d.nr,706192,rrfs.t21z.sfcshp.tm00.bufr_d.nr,706192,0,0.0
54,rrfs.t13z.sgesprep_pathname.tm00,75,rrfs.t13z.sgesprep_pathname.tm00,75,0,0.0
55,rrfs.t23z.cqc_events.tm00,0,rrfs.t23z.cqc_events.tm00,0,0,
56,rrfs.t01z.acqc_ord.tm00,259549,rrfs.t01z.acqc_ord.tm00,259549,0,0.0
57,rrfs.t21z.cqc_stnlst.tm00,0,rrfs.t21z.cqc_stnlst.tm00,0,0,
58,rrfs.t12z.vadwnd.tm00.bufr_d,633928,rrfs.t12z.vadwnd.tm00.bufr_d,633928,0,0.0
59,rrfs.t07z.gpsipw.tm00.bufr_d.nr,705208,rrfs.t07z.gpsipw.tm00.bufr_d.nr,705208,0,0.0
60,rrfs.t20z.adpupa.tm00.bufr_d,55920,rrfs.t20z.adpupa.tm00.bufr_d,55920,0,0.0
61,rrfs.t15z.acqc_inc.tm00,153108,rrfs.t15z.acqc_inc.tm00,153108,0,0.0
62,rrfs.t00z.proflr.tm00.bufr_d,63904,rrfs.t00z.proflr.tm00.bufr_d,63904,0,0.0
63,rrfs.t18z.prepbufr.tm00,41838616,rrfs.t18z.prepbufr.tm00,41838616,0,0.0
64,obsproc_version_for_t08z_rrfs_dump_run,124,obsproc_version_for_t08z_rrfs_dump_run,124,0,0.0
65,rrfs.t06z.prepbufr.tm00,40095376,rrfs.t06z.prepbufr.tm00,40095376,0,0.0
66,rrfs.t12z.cqcvad.birdqc.tm00,22462,rrfs.t12z.cqcvad.birdqc.tm00,22462,0,0.0
67,rrfs.t15z.sgesprep.tm00,6734124094,rrfs.t15z.sgesprep.tm00,6734124094,0,0.0
68,rrfs.t14z.imssnow.grib2,9816830,rrfs.t14z.imssnow.grib2,9816830,0,0.0
69,rrfs.t20z.1bmhs.tm00.bufr_d,3116872,rrfs.t20z.1bmhs.tm00.bufr_d,3116872,0,0.0
70,rrfs.t06z.esatms.tm00.bufr_d,15057440,rrfs.t06z.esatms.tm00.bufr_d,15057440,0,0.0
71,rrfs.t11z.esiasi.tm00.bufr_d,104045080,rrfs.t11z.esiasi.tm00.bufr_d,104045080,0,0.0
72,rrfs.t19z.vadwnd.tm00.bufr_d.listing,3462504,rrfs.t19z.vadwnd.tm00.bufr_d.listing,3462504,0,0.0
73,rrfs.t00z.acqc_log.tm00,25923202,rrfs.t00z.acqc_log.tm00,25923202,0,0.0
74,rrfs.t10z.snocvr.tm00.bufr_d,1175616,rrfs.t10z.snocvr.tm00.bufr_d,1175616,0,0.0
75,rrfs.t12z.acqc_ord.tm00,69503,rrfs.t12z.acqc_ord.tm00,69503,0,0.0
76,rrfs.t18z.aircft.tm00.bufr_d,2311264,rrfs.t18z.aircft.tm00.bufr_d,2311264,0,0.0
77,rrfs.t11z.proflr.tm00.bufr_d.listing,355584,rrfs.t11z.proflr.tm00.bufr_d.listing,355584,0,0.0
78,rrfs.t06z.msonet.tm00.bufr_d,24667728,rrfs.t06z.msonet.tm00.bufr_d,24667728,0,0.0
79,rrfs.t15z.saphir.tm00.bufr_d,0,rrfs.t15z.saphir.tm00.bufr_d,0,0,
80,rrfs.t01z.sevcsr.tm00.bufr_d,0,rrfs.t01z.sevcsr.tm00.bufr_d,0,0,
81,rrfs.t04z.cqc_sdm.tm00,0,rrfs.t04z.cqc_sdm.tm00,0,0,
82,rrfs.t19z.proflr.tm00.bufr_d.listing,373307,rrfs.t19z.proflr.tm00.bufr_d.listing,373307,0,0.0
83,rrfs.t22z.uprair.tm00.bufr_d,0,rrfs.t22z.uprair.tm00.bufr_d,0,0,
84,rrfs.t16z.bufr_dumplist.tm00,74435,rrfs.t16z.bufr_dumplist.tm00,74435,0,0.0
85,rrfs.t01z.prepbufr_pre-qc.tm00,57269296,rrfs.t01z.prepbufr_pre-qc.tm00,57269296,0,0.0
86,rrfs.t23z.airsev.tm00.bufr_d,0,rrfs.t23z.airsev.tm00.bufr_d,0,0,
87,rrfs.t19z.wndtwr.tm00.bufr_d,0,rrfs.t19z.wndtwr.tm00.bufr_d,0,0,
88,rrfs.t08z.proflr.tm00.bufr_d,60856,rrfs.t08z.proflr.tm00.bufr_d,60856,0,0.0
89,rrfs.t04z.status.tm00.bufr_d,50121,rrfs.t04z.status.tm00.bufr_d,50121,0,0.0
90,rrfs.t00z.ascatw.tm00.bufr_d.listing,4310878,rrfs.t00z.ascatw.tm00.bufr_d.listing,4310878,0,0.0
91,rrfs.t23z.satwnd.tm00.bufr_d,12745040,rrfs.t23z.satwnd.tm00.bufr_d,12745040,0,0.0
92,rrfs.t17z.gmi1cr.tm00.bufr_d,31367968,rrfs.t17z.gmi1cr.tm00.bufr_d,31367968,0,0.0
93,rrfs.t04z.ssmisu.tm00.bufr_d,1339232,rrfs.t04z.ssmisu.tm00.bufr_d,1339232,0,0.0
94,rrfs.t19z.crsfdb.tm00.bufr_d,107099952,rrfs.t19z.crsfdb.tm00.bufr_d,107099952,0,0.0
95,rrfs.t07z.gpsipw.tm00.bufr_d,113504,rrfs.t07z.gpsipw.tm00.bufr_d,113504,0,0.0
96,rrfs.t05z.cqc_stnlst.tm00,2844,rrfs.t05z.cqc_stnlst.tm00,2844,0,0.0
